report_date,product,put_call,contract,strike,volume,oi,oi_change,oi_prev
20260902,standard,Call,2610,72250,1,86,0,86
20260902,standard,Put,2609,69000,3,1120,-1,1121
20260902,standard,Call,2610,72500,11,176,1,175
20260902,standard,Put,2609,69250,0,1,0,1
20260902,standard,Call,2610,72750,4,10,0,10
20260902,standard,Put,2609,69500,0,8,0,8
20260902,standard,Call,2610,73000,100,1547,58,1489
20260902,standard,Put,2609,70000,0,1483,0,1483
20260902,standard,Call,2610,73250,0,2,0,2
20260902,standard,Put,2609,70500,0,2,0,2
20260902,standard,Call,2610,73500,5,26,2,24
20260902,standard,Put,2609,71000,0,100,0,100
20260902,standard,Call,2610,73750,1,1,1,0
20260902,standard,Put,2609,71250,0,1,0,1
20260902,standard,Call,2610,74000,163,622,39,583
20260902,standard,Put,2609,73000,0,3,0,3
20260902,standard,Call,2610,74250,0,8,0,8
20260902,standard,Put,2609,77500,0,4,0,4
20260902,standard,Call,2610,74500,2,66,0,66
20260902,standard,Put,2609,78000,0,1,0,1
20260902,standard,Call,2610,74750,0,1,0,1
20260902,standard,Put,2609,80000,0,1,0,1
20260902,standard,Call,2610,75000,158,1472,-220,1692
20260902,standard,Put,2609,85000,0,5,0,5
20260902,standard,Call,2610,75250,1,2,-1,3
20260902,standard,Call,2610,75500,0,7,0,7
20260902,standard,Call,2610,75750,5,5,4,1
20260902,standard,Put,2610,20000,54,533,24,509
20260902,standard,Call,2610,76000,253,1049,226,823
20260902,standard,Put,2610,22500,15,24,0,24
20260902,standard,Call,2610,76250,2,8,2,6
20260902,standard,Put,2610,25000,17,1467,6,1461
20260902,standard,Call,2610,76500,3,12,2,10
20260902,standard,Put,2610,26000,0,25,0,25
20260902,standard,Call,2610,77000,11,1186,2,1184
20260902,standard,Put,2610,27000,15,25,15,10
20260902,standard,Call,2610,77500,1,110,-1,111
20260902,standard,Put,2610,28000,4,15,1,14
20260902,standard,Call,2610,78000,133,665,43,622
20260902,standard,Put,2610,29000,0,11,0,11
20260902,standard,Call,2610,78500,1,8,1,7
20260902,standard,Put,2610,30000,480,3433,-361,3794
20260902,standard,Call,2610,79000,33,77,31,46
20260902,standard,Put,2610,31000,0,4,0,4
20260902,standard,Call,2610,79500,0,4,0,4
20260902,standard,Put,2610,32000,0,26,0,26
20260902,standard,Call,2610,80000,33,1844,-4,1848
20260902,standard,Put,2610,33000,1107,1655,1104,551
20260902,standard,Call,2610,80500,14,1,-1,2
20260902,standard,Put,2610,34000,1,4,1,3
20260902,standard,Call,2610,81000,22,496,16,480
20260902,standard,Put,2610,35000,132,1980,54,1926
20260902,standard,Call,2610,81500,0,2,0,2
20260902,standard,Put,2610,36000,0,28,0,28
20260902,standard,Call,2610,82000,1,64,0,64
20260902,standard,Put,2610,37000,5,170,1,169
20260902,standard,Call,2610,82500,2,1,-2,3
20260902,standard,Put,2610,38000,38,13,9,4
20260902,standard,Call,2610,83000,6,18,1,17
20260902,standard,Put,2610,39000,4,104,2,102
20260902,standard,Call,2610,83500,0,9,0,9
20260902,standard,Put,2610,40000,834,4162,0,4162
20260902,standard,Call,2610,84000,0,6,0,6
20260902,standard,Put,2610,41000,6,110,2,108
20260902,standard,Call,2610,85000,8,157,1,156
20260902,standard,Put,2610,42000,2,139,0,139
20260902,standard,Call,2610,87500,1,113,0,113
20260902,standard,Put,2610,42750,0,31,0,31
20260902,standard,Call,2610,90000,12,113,12,101
20260902,standard,Put,2610,43000,6,148,1,147
20260902,standard,Call,2610,92500,0,15,0,15
20260902,standard,Put,2610,43250,0,15,0,15
20260902,standard,Call,2610,95000,0,59,0,59
20260902,standard,Put,2610,43500,0,15,0,15
20260902,standard,Call,2610,97500,0,14,0,14
20260902,standard,Put,2610,43750,0,12,0,12
20260902,standard,Call,2610,100000,0,297,0,297
20260902,standard,Put,2610,44000,20,233,2,231
20260902,standard,Put,2610,44250,0,36,0,36
20260902,standard,Put,2610,44500,0,1,0,1
20260902,standard,Call,2611,44500,0,1,0,1
20260902,standard,Put,2610,44750,6,37,0,37
20260902,standard,Call,2611,50250,0,35,0,35
20260902,standard,Put,2610,45000,934,1193,614,579
20260902,standard,Call,2611,56000,0,34,0,34
20260902,standard,Put,2610,45250,0,28,0,28
20260902,standard,Call,2611,57500,0,100,0,100
20260902,standard,Put,2610,45500,0,209,0,209
20260902,standard,Call,2611,58000,0,1,0,1
20260902,standard,Put,2610,45750,0,43,0,43
20260902,standard,Call,2611,60500,0,100,0,100
20260902,standard,Put,2610,46000,2,356,2,354
20260902,standard,Call,2611,61000,0,200,0,200
20260902,standard,Put,2610,46250,0,13,0,13
20260902,standard,Call,2611,64000,0,125,0,125
20260902,standard,Put,2610,46500,4,157,0,157
20260902,standard,Call,2611,65000,144,157,144,13
20260902,standard,Put,2610,46750,0,131,0,131
20260902,standard,Call,2611,65500,0,101,0,101
20260902,standard,Put,2610,47000,10,284,6,278
20260902,standard,Call,2611,65750,0,1,0,1
20260902,standard,Put,2610,47250,0,26,0,26
20260902,standard,Call,2611,65875,0,50,0,50
20260902,standard,Put,2610,47500,7,30,0,30
20260902,standard,Call,2611,66000,40,436,-10,446
20260902,standard,Put,2610,47750,0,40,0,40
20260902,standard,Call,2611,67000,0,1135,0,1135
20260902,standard,Put,2610,48000,27,745,4,741
20260902,standard,Call,2611,67500,0,301,0,301
20260902,standard,Put,2610,48250,0,51,0,51
20260902,standard,Call,2611,68000,0,430,0,430
20260902,standard,Put,2610,48500,1,199,0,199
20260902,standard,Call,2611,68375,0,16,0,16
20260902,standard,Put,2610,48750,0,24,0,24
20260902,standard,Call,2611,68500,0,1,0,1
20260902,standard,Put,2610,49000,22,244,0,244
20260902,standard,Call,2611,69000,0,1938,0,1938
20260902,standard,Put,2610,49250,4,75,3,72
20260902,standard,Call,2611,69500,0,4,0,4
20260902,standard,Put,2610,49500,0,202,0,202
20260902,standard,Call,2611,70000,22,994,-19,1013
20260902,standard,Put,2610,49750,0,58,0,58
20260902,standard,Call,2611,70500,0,1,0,1
20260902,standard,Put,2610,50000,171,1046,35,1011
20260902,standard,Call,2611,71000,0,300,0,300
20260902,standard,Put,2610,50250,0,65,0,65
20260902,standard,Call,2611,71500,0,353,0,353
20260902,standard,Put,2610,50500,5,406,1,405
20260902,standard,Call,2611,72000,0,395,0,395
20260902,standard,Put,2610,50750,0,50,0,50
20260902,standard,Call,2611,72250,1,1,1,0
20260902,standard,Put,2610,51000,46,398,0,398
20260902,standard,Call,2611,72500,0,602,0,602
20260902,standard,Put,2610,51250,0,83,0,83
20260902,standard,Call,2611,73750,0,1,0,1
20260902,standard,Put,2610,51500,2,413,0,413
20260902,standard,Call,2611,74000,0,100,0,100
20260902,standard,Put,2610,51750,1,73,1,72
20260902,standard,Call,2611,74500,0,116,0,116
20260902,standard,Put,2610,52000,139,1310,14,1296
20260902,standard,Call,2611,75000,20,842,0,842
20260902,standard,Put,2610,52250,6,45,0,45
20260902,standard,Call,2611,75500,0,77,0,77
20260902,standard,Put,2610,52500,19,260,2,258
20260902,standard,Call,2611,76000,1,1,0,1
20260902,standard,Put,2610,52750,1,68,1,67
